Sale type,SKU,Name,Spring - Sale Price DR,Spring - Sale Price TW,Spring - Sale Price OR
Overstock,BLANCO526201,Blanco Select II 50/2 38 litre 2 Container Waste Organiser for 500mm Kitchen Cabinets,,269.99,
Overstock,FNTBAS,Flova Fusion Tall Mono Basin Mixer with Clicker Waste,-0.01,269.99,
,harbour-stat-c-fc-shower-kit-200,"Harbour Status Concealed Shower Valve, Fixed Ceiling Mounted 200mm Head & Slide Rail Kit",-0.01,269.99,
Overstock,MOC323,Drench Emily 600mm Double Door Mirror Cabinet - Gloss Grey,-0.01,269.99,
Overstock,AMBIENCE-LEDCAB-60X48-RUSTIC,Harbour Virtue 600mm Wall Hung Vanity Unit with LED Illumination - Rustic Oak,269.99,269.99,
Overstock,DEC127BBL,Just Taps Decor Single Lever Pull Out Spray Mono Kitchen Mixer Tap - Gunmetal,,224.99,
,SQSL10BP,Harbour Primrose Matt Black 6mm Single Sliding Shower Door - 1000mm (1850mm high),-0.01,224.99,
,SQSL12BP,Harbour Primrose Matt Black 6mm Single Sliding Shower Door - 1200mm (1850mm high),-0.01,224.99,
Overstock,28556MB,Just Taps VOS Douche Kit Complete With Single Lever Control - Matt Black,-0.01,179.99,
Overstock,DEC181BBL,Just Taps Decor Single Lever Mono Kitchen Mixer Tap - Gunmetal,,179.99,
Overstock,DEC181BBR,Just Taps Decor Single Lever Mono Kitchen Mixer Tap - Brushed Brass,,179.99,
Overstock,DEC181MB,Just Taps Decor Single Lever Mono Kitchen Mixer Tap - Matt Black,,179.99,
,dr-archie-cnc-shwr-kit-180ca-200,"Archie Concealed Shower Valve, 200mm Fixed Shower Head & Handset - 180mm Ceiling Shower Arm",-0.01,199.99,
Overstock,FPBBL,VOS Pneumatic Flush Plate - Brushed Black,-0.01,179.99,
,h-cl-b-mxr-t-w-bth-shwr-mx-t-mb,Harbour Clarity Matt Black Basin Mixer Tap and Bath Shower Mixer Tap with Shower Kit,199.99,179.99,
,harbour-stat-c-wm-shower-kit-200,Harbour Status Concealed Shower Valve & Wall Mounted Fixed 200mm Shower Head,-0.01,179.99,
,NU-019,Drench Core Exposed Thermostatic Rigid Riser Shower Kit - Chrome,179.99,179.99,
Overstock,dorcp,Clearwater Dorman Single Lever Mono Sink Mixer With Swivel Spout - Chrome,,134.99,
Overstock,MIRROR006,Vellamo LED Illuminated Universal Bathroom Mirror with Demister Pad - 700mm x 500mm (Vivid),-0.01,134.99,
Overstock,TFVIBTAP2BK-RED,(DC) The Tap Factory Vibrance 2 Black Twin Lever Mono Kitchen Mixer with Post Box Red Handles,,134.99,
,v-swift-b-mxr-t-w-dkmnt-b-mxr-c,Vellamo Swift Chrome Basin Mixer Tap & Waste and Deck Mounted Bath Mixer Tap,144.99,134.99,
